question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
Which logical architectures correspond to LIPA? [3GPP Release 17],SIPTO@LN with a co-located L-GW in the MeNB,SIPTO@LN with a stand-alone gateway,SIPTO@LN with a co-located L-GW in the SeNB,SIPTO@LN with a shared hybrid cell,option 3: SIPTO@LN with a co-located L-GW in the SeNB,The logical architectures for LIPA correspond to the logical architectures for SIPTO@LN with a co-located L-GW in the SeNB.,Standards specifications,
What types of data can be processed by the Management Data Analytics (MDA)? [3GPP Release 17],"Performance measurements, KPIs, alarms, and network configuration data",Trace/MDT/RLF/RCEF reports and network analytics data,QoE reports and service experience data from AFs,All of the above,option 4: All of the above,"The MDA can process and analyze various types of data, including performance measurements, KPIs, alarms, configuration data, network analytics data, and service experience data from AFs.",Standards specifications,
What can an Evolved ProSe UE-to-Network Relay act as? [3GPP Release 17],A network controller,A communication bridge between an Evolved ProSe Remote UE and E-UTRAN,A PLMN,A standalone device,option 2: A communication bridge between an Evolved ProSe Remote UE and E-UTRAN,"A UE can act as a relay between an Evolved ProSe Remote UE and E-UTRAN, providing communication between them.",Standards specifications,
What is the purpose of a Privacy Exception List for a Target UE Subscriber? [3GPP Release 17],"To determine which LCS Clients, services, and classes of LCS Clients can position the Target UE",To specify the target subscriber notification setting for each LCS Client and service,To specify the default treatment for location requests from LCS Clients not registered in the list,All of the above,option 4: All of the above,"The Privacy Exception List determines access privileges, target subscriber notification settings, and default treatment for location requests.",Standards specifications,
What is the purpose of UE history information in EN-DC? [3GPP Release 17],To optimize inter-system load balancing,To enhance coverage and cell edge interference,To avoid Ping Pong effect during handovers,To improve mobility optimization,option 3: To avoid Ping Pong effect during handovers,The purpose of UE history information in EN-DC is to avoid Ping Pong effect during handovers.,Standards overview,
What is the purpose of the scheduler in MAC in gNB? [3GPP Release 18],To allocate physical layer resources for the uplink and the downlink,To manage the sharing of uplink resources between logical channels,To enable coordination of TDM and FDM cell resources between MAC in the gNB and the corresponding entity in the ng-eNB,To provide support for power-aware packet scheduling,option 1: To allocate physical layer resources for the uplink and the downlink,The scheduler in MAC in gNB allocates physical layer resources for the uplink and the downlink.,Standards specifications,To provide support for QoS-aware packet scheduling
How many sets of 3GPP PS Data Off Exempt Services can be configured by the HPLMN operator? [3GPP Release 18],One,Two,Three,Unlimited,option 2: Two,The HPLMN operator can configure up to two sets of 3GPP PS Data Off Exempt Services: one for when in HPLMN and another for when roaming.,Standards specifications,
What are the performance objectives for the Evolved Packet System? [3GPP Release 17],Higher user data rates and reduced latency,Improved system capacity and coverage,Reduced network complexity and lower operating costs,All of the above,option 4: All of the above,"The performance objectives for the Evolved Packet System include higher user data rates, reduced latency, improved system capacity and coverage, reduced network complexity and lower operating costs.",Standards specifications,
What is the purpose of ACDC (Application Specific Congestion control for Data Communication)? [3GPP Release 18],To prevent overload of the access network and/or the core network,To control access to network provided services or functions,To allow/prevent new access attempts from particular applications,To differentiate between CS and PS domains,option 3: To allow/prevent new access attempts from particular applications,The purpose of ACDC is to allow/prevent new access attempts from particular applications.,Standards specifications,To specify the categories of subscribers who are barred from network access
What is the purpose of the ARQ functionality in the RLC sublayer? [3GPP Release 17],Error detection,Segmentation of RLC SDUs,Sequence numbering,Flow control,option 5: Error correction,The ARQ functionality in the RLC sublayer is used for error correction.,Standards specifications,Error correction
Which of the following numbering and addressing schemes are supported for IP multimedia sessions? [3GPP Release 18],MSISDN and SIP URL,H.324M and GTT,UDI/RDI and MMS,3.1kHz Ext. PLMN and CS multimedia calls,option 1: MSISDN and SIP URL,MSISDN and SIP URL numbering and addressing schemes shall be supported for IP multimedia sessions.,Standards specifications,
What was the transmit diversity technique used in Rel-15 for V2X Phase 2? [3GPP Release 15],Modulation,Spatial multiplexing,Beamforming,Channel coding,option 5: Small Delay Cyclic Delay Diversity,The transmit diversity technique used in Rel-15 for V2X Phase 2 is Small Delay Cyclic Delay Diversity.,Standards overview,Small Delay Cyclic Delay Diversity
What security measure does the 3GPP system support to protect the transmission for a V2X application? [3GPP Release 17],Authentication,Encryption,Integrity protection,Pseudonymity,option 3: Integrity protection,The 3GPP system supports integrity protection of the transmission for a V2X application as a security measure.,Standards specifications,
How does a supporting UE determine available core network operators in a shared network? [3GPP Release 17],It relies on the SIM/USIM card for information.,It checks the MCC+MNC of each available operator.,It sends a request to the core network nodes.,It decodes the broadcast system information.,option 4: It decodes the broadcast system information.,A supporting UE determines available core network operators in a shared network by decoding the broadcast system information.,Standards specifications,
